gsis_id,name,sport,league,birth_date,position,height,college_name,jersey_number,rookie_season,last_season,latest_team,status,years_of_experience,draft_year,draft_round,draft_pick,draft_team
00-0021179,Clinton Portis,Football,NFL,9/1/1981,RB,71,Miami,26,2002,2010,WAS,RES,9,2002,2,51,DEN
00-0021149,Albert Haynesworth,Football,NFL,6/17/1981,DT,78,Tennessee,95,2002,2011,TB,ACT,10,2002,1,15,TEN
00-0021157,Lito Sheppard,Football,NFL,4/8/1981,CB,70,Florida,21,2002,2011,LV,ACT,10,2002,1,26,PHI
00-0021191,Antonio Bryant,Football,NFL,3/9/1981,WR,73,Pittsburgh,89,2002,2009,TB,ACT,7,2002,2,63,DAL
00-0021376,T.J. Duckett,Football,NFL,2/17/1981,RB,72,Michigan State,42,2002,2008,SEA,ACT,7,2002,1,18,ATL
00-0021163,Jabar Gaffney,Football,NFL,12/1/1980,WR,74,Florida,10,2002,2012,MIA,CUT,11,2002,2,33,HOU
00-0021147,Donte' Stallworth,Football,NFL,11/10/1980,WR,72,Tennessee,19,2002,2012,NE,RES,10,2002,1,13,NO
00-0020678,Kyries Hebert,Football,NFL,10/9/1980,DB,75,Louisiana-Lafayette,34,2002,2009,CIN,ACT,2,,,,
00-0021219,Chris Hope,Football,NFL,9/29/1980,S,72,Florida State,24,2002,2012,ATL,ACT,11,2002,3,94,PIT
00-0021151,Phillip Buchanon,Football,NFL,9/19/1980,DB,71,Miami,31,2002,2011,WAS,RES,10,2002,1,17,LV
00-0021085,Will Witherspoon,Football,NFL,8/19/1980,OLB,73,Georgia,51,2002,2013,LA,ACT,12,2002,3,73,CAR
00-0021148,Jeremy Shockey,Football,NFL,8/18/1980,TE,77,Miami; Northeast Oklahoma,80,2002,2011,CAR,ACT,10,2002,1,14,NYG
00-0020873,Bart Scott,Football,NFL,8/18/1980,ILB,74,Southern Illinois,57,2002,2012,NYJ,ACT,11,,,,
